movie;director
tt0052005;nm0503777
tt0052017;nm0000005
tt0052046;nm0006249
tt0052077;nm0000248
tt0052104;nm0076618
tt0052131;nm0004573
tt0052151;nm0936404
tt0052156;nm0000339
tt0052188;nm0000339
tt0052216;nm0598102
tt0052218;nm0591486
tt0052279;nm0000339
tt0052286;nm0348673
tt0052289;nm0184648
tt0052311;nm0000080
tt0052357;nm0000033
tt0052378;nm0330026
tt0052394;nm0937600
tt0052561;nm0695937
tt0052572;nm0006249
tt0052600;nm0161055
tt0052609;nm0375494
tt0052611;nm0522123
tt0052646;nm0338018
tt0052654;nm0926919
tt0052698;nm0767110
tt0052700;nm0281507
tt0052708;nm0001031
tt0052724;nm0211964
tt0052735;nm0533241
tt0052735;nm0357891
tt0052782;nm0290371
tt0052782;nm0000878
tt0052805;nm0206560
tt0052809;nm0789520
tt0052832;nm0001486
tt0052846;nm0446129
tt0052876;nm0202681
tt0052876;nm0001500
tt0052876;nm0792605
tt0052888;nm0100372
tt0052888;nm0164967
tt0052918;nm0802862
tt0052954;nm0244870
tt0052961;nm0690597
tt0052969;nm0446129
tt0052993;nm0836328
tt0052997;nm0213136
tt0053003;nm0002190
tt0053039;nm0314584
tt0053050;nm0245213
tt0053065;nm0542720
tt0053121;nm0406728
tt0053133;nm0936404
tt0053134;nm0654868
tt0053137;nm0006452
tt0053183;nm0587277
tt0053198;nm0000076
tt0053226;nm0002338
tt0053241;nm0136579
tt0053242;nm0213136
tt0053250;nm0535512
tt0053285;nm0527217
tt0053285;nm0718627
tt0053285;nm0488981
tt0053285;nm0314671
tt0053285;nm0164203
tt0053317;nm0094083
tt0053337;nm0333650
tt0053361;nm0496746
tt0053388;nm0393094
tt0053390;nm0654868
tt0053403;nm0894577
tt0053434;nm0229424
tt0053459;nm0290802
tt0053472;nm0000419
tt0053579;nm0654868
tt0053598;nm0103855
tt0053602;nm0337885
tt0053604;nm0000697
tt0053611;nm0468609
tt0053636;nm0715862
tt0053643;nm0006615
tt0053651;nm0880618
tt0053666;nm0001031
tt0053724;nm0274659
tt0053746;nm0451576
tt0053765;nm0006249
tt0053779;nm0000019
tt0053796;nm0724798
tt0053849;nm0599910
tt0053856;nm0744023
tt0053917;nm0591486
tt0053935;nm0496746
tt0053944;nm0912876
tt0053967;nm0000320
tt0053976;nm0000005
tt0053987;nm0001789
tt0054020;nm0215085
tt0054042;nm0310449
tt0054047;nm0836328
tt0054067;nm0000878
tt0054086;nm0002190
tt0054115;nm0347086
tt0054119;nm0906667
tt0054130;nm0000774
tt0054152;nm0715346
tt0054189;nm0167496
tt0054195;nm0842582
tt0054198;nm0202088
tt0054205;nm0237707
tt0054215;nm0000033
tt0054240;nm0032154
tt0054248;nm0899581
tt0054279;nm0357607
tt0054279;nm0156320
tt0054279;nm0291201
tt0054292;nm0000406
tt0054331;nm0000040
tt0054333;nm0127168
tt0054353;nm0003593
tt0054357;nm0002175
tt0054358;nm0279807
tt0054387;nm0657162
tt0054389;nm0000076
tt0054393;nm0330026
tt0054407;nm0065442
tt0054412;nm0623768
tt0054413;nm0173728
tt0054425;nm0478800
tt0054476;nm0001415
tt0054599;nm0001596
tt0054614;nm0213136
tt0054665;nm0954724
tt0054687;nm0056191
tt0054691;nm0111735
tt0054731;nm0492974
tt0054734;nm0335093
tt0054743;nm0943758
tt0054745;nm0602841
tt0054745;nm0745541
tt0054749;nm0001120
tt0054790;nm0346436
tt0054847;nm0542649
tt0054923;nm0920862
tt0054949;nm0002216
tt0054997;nm0744035
