imdb_id;original_language;popularity;revenue;runtime;vote_average;vote_count;genres;continent;action;adventure;animation;comedy;crime;documentary;drama;family;fantasy;history;horror;music;mystery;romance;science_fiction;tv_movie;thriller;war;western
tt0099832;en;3.94;2544504.0;109.0;5.7;23.0;['Thriller', 'Crime'];Americas;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
tt0099949;pl;4.486;0.0;115.0;7.6;16.0;['Drama', 'History'];Europe;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
tt0099991;en;4.411;1531489.0;106.0;5.9;24.0;['Action', 'Crime', 'Drama'];Americas;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0100046;en;7.488;0.0;97.0;7.4;78.0;['Drama', 'History'];Americas;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
tt0100050;en;15.298;47789074.0;81.0;5.5;1121.0;['Romance', 'Comedy'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
tt0100095;hi;4.517;0.0;192.0;6.5;42.0;['Romance', 'Drama'];Asia;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0100107;en;9.555;0.0;90.0;5.9;155.0;['Action', 'Horror', 'Thriller'];Americas;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
tt0100112;fr;9.881;0.0;82.0;6.9;148.0;['Comedy', 'Drama', 'Romance'];Europe;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0100129;en;4.028;485772.0;90.0;5.5;24.0;['Comedy', 'Fantasy'];Americas;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
tt0100151;en;3.236;0.0;111.0;6.9;37.0;['Drama'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0100156;en;3.13;0.0;104.0;5.1;33.0;['Horror'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
tt0100157;en;25.99;61276872.0;107.0;7.7;3553.0;['Drama', 'Thriller'];Americas;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0100211;en;8.753;6263883.0;124.0;7.2;103.0;['Crime', 'Drama', 'Thriller'];Americas;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0100232;en;12.181;25069101.0;113.0;5.2;162.0;['Action'];Americas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0100332;en;8.76;3779620.0;71.0;8.2;370.0;['Documentary'];Americas;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0100339;ja;9.913;0.0;100.0;6.8;91.0;['Action', 'Animation', 'Science Fiction', 'Mystery'];Asia;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
tt0100405;en;81.208;463406268.0;119.0;7.4;6281.0;['Romance', 'Comedy'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
tt0100470;de;1.37;0.0;110.0;6.9;21.0;['Drama'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0100475;en;10.135;1382462.0;80.0;5.1;205.0;['Comedy', 'Horror'];Americas;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
tt0100502;en;26.132;45681173.0;117.0;5.9;1381.0;['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller'];Americas;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
tt0100514;en;19.624;21633874.0;120.0;5.9;392.0;['Action', 'Crime', 'Drama', 'Thriller'];Americas;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0100608;en;2.865;458996.0;90.0;6.1;18.0;['Comedy', 'Romance'];Oceania;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
tt0100611;en;4.242;0.0;87.0;5.2;41.0;['Comedy', 'Romance'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
tt0100649;en;5.845;0.0;112.0;4.5;23.0;['Science Fiction'];Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
tt0100681;it;7.507;0.0;118.0;7.3;111.0;['Drama'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0100747;fr;6.904;0.0;111.0;6.5;178.0;['Comedy', 'Drama'];Europe;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0100814;en;33.673;48572000.0;96.0;6.8;2506.0;['Horror', 'Comedy', 'Action', 'Adventure', 'Fantasy'];Americas;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
tt0100904;en;2.483;0.0;101.0;5.1;18.0;['Horror', 'Science Fiction'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
tt0100975;en;4.659;0.0;92.0;4.2;23.0;['Horror', 'Science Fiction'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
tt0101256;en;3.973;0.0;93.0;4.5;38.0;['Horror'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
tt0101258;cn;17.939;141864.0;94.0;7.3;305.0;['Crime', 'Drama', 'Romance'];Asia;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0101268;en;4.859;0.0;100.0;5.7;36.0;['Drama'];Americas;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0101309;en;9.939;0.0;92.0;4.0;39.0;['Horror'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
tt0101327;en;9.285;0.0;106.0;5.2;32.0;['Action'];Americas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0101428;fr;12.157;0.0;238.0;7.3;125.0;['Drama'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0101453;en;9.387;15565363.0;106.0;5.7;159.0;['Drama', 'Action', 'Thriller', 'Crime'];Americas;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0101455;en;24.156;8667684.0;90.0;5.0;77.0;['Action', 'Adventure', 'Comedy', 'Family'];Americas;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
tt0101492;en;10.44;0.0;88.0;5.9;82.0;['Horror', 'Thriller'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
tt0101507;en;54.693;57504069.0;112.0;7.6;1409.0;['Drama', 'Crime'];Americas;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0101523;en;14.737;9689816.0;107.0;5.7;137.0;['Fantasy', 'Comedy', 'Science Fiction', 'Romance'];Americas;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
tt0101526;is;2.931;0.0;85.0;5.9;11.0;['Romance', 'Drama'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0101597;en;2.442;259012.0;94.0;6.7;30.0;['Drama', 'Thriller'];Americas;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0101605;en;10.924;14919570.0;118.0;7.3;404.0;['Comedy', 'Drama', 'Music'];Europe;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
tt0101615;en;6.936;1193062.0;91.0;4.9;119.0;['Comedy', 'Music', 'Romance'];Americas;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
tt0101627;en;18.512;0.0;86.0;5.1;258.0;['Comedy', 'Horror', 'Science Fiction'];Americas;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
tt0101649;ta;5.004;0.0;155.0;7.6;31.0;['Crime', 'Action', 'Drama'];Asia;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0101660;en;2.7;0.0;101.0;5.3;23.0;['Comedy'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0101675;en;9.47;0.0;80.0;3.5;30.0;['Science Fiction', 'Horror'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
tt0101698;en;9.438;0.0;112.0;6.9;187.0;['Comedy', 'Fantasy', 'Romance'];Americas;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
tt0101701;en;8.389;5546827.0;96.0;5.5;78.0;['Fantasy', 'Comedy', 'Romance'];Americas;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
tt0101725;en;6.892;31815.0;90.0;4.9;18.0;['Thriller', 'Crime', 'Drama'];Americas;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
tt0101732;hi;1.725;11000000.0;164.0;7.8;6.0;['Romance'];Asia;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
tt0101761;en;17.666;34416893.0;140.0;7.1;1060.0;['Music', 'Drama'];Americas;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
tt0101775;en;10.061;13878334.0;103.0;6.0;277.0;['Comedy', 'Fantasy', 'Family'];Europe;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
tt0101864;cn;22.436;0.0;96.0;5.0;29.0;['Action', 'Comedy'];Asia;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0101921;en;15.019;119418501.0;130.0;7.7;1034.0;['Drama', 'Comedy'];Americas;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0101985;zh;14.039;0.0;237.0;8.3;184.0;['Crime', 'Drama', 'Romance'];Asia;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
