primaryTitle;startYear;rtRating
The Killer;1989;98%
My Left Foot;1989;98%
Say Anything;1989;98%
Paris Is Burning;1990;98%
A Summer's Tale;1996;98%
When We Were Kings;1996;98%
Ring of Terror;1961;
The Sweet Hereafter;1997;98%
Subarnarekha;1965;
The Taste of Others;2000;98%
The Stars Will Tell, Inspector Palmu;1962;
A Monkey in Winter;1962;
The Man Without a Past;2002;98%
Mountain Patrol;2004;98%
Toy Story 3;2010;98%
Murderball;2005;98%
You, the Living;2007;98%
For the Bible Tells Me So;2007;98%
The Father;2020;98%
Family Portrait;1962;
Business People;1963;
Minari;2020;98%
The Wrestler;2008;98%
Assassins;2020;98%
Let the Right One In;2008;98%
Marwencol;2010;98%
Kissin' Cousins;1964;
The Red Lanterns;1963;
GasLand;2010;98%
The Island President;2011;98%
Any Number Can Win;1963;
Mea Maxima Culpa: Silence in the House of God;2012;98%
Let the Fire Burn;2013;98%
Life Itself;2014;98%
New Tale of Zatoichi;1963;
The Skydivers;1963;
A Stitch in Time;1963;
Zootopia;2016;98%
Timbuktu;2014;98%
The Three Lives of Thomasina;1963;
Crooks in Clover;1963;
Barren Lives;1963;
Zatoichi on the Road;1963;
Zatoichi the Fugitive;1963;
Being Evel;2015;98%
Monstrosity;1963;
Aferim!;2015;98%
Carry on Jack;1964;
In Between;2016;98%
Whose Streets?;2017;98%
The Sucker;1965;
City of Ghosts;2017;98%
The Earth Dies Screaming;1964;
The Guilty;2018;98%
The Flesh Eaters;1964;
Jane;2017;98%
The Velvet Underground;2021;98%
Bunuel in the Labyrinth of the Turtles;2018;98%
Come from Away;2021;98%
Lemonade Joe;1964;
Hercules Against the Moon Men;1964;
Corpus Christi;2019;98%
Murder Ahoy;1964;
Muscle Beach Party;1964;
Maiden;2018;98%
Dumbo;1941;98%
Gentlemen Prefer Blondes;1953;98%
Ai Weiwei: Never Sorry;2012;98%
Seduced and Abandoned;1964;
How to Survive a Plague;2012;98%
Hope;2019;98%
Detour;1945;98%
Sweet Smell of Success;1957;98%
A Fistful of Dollars;1964;98%
The 317th Platoon;1965;
The Player;1992;98%
Three Colors: Blue;1993;98%
Celda 211;2009;98%
Le Bonheur;1965;
Jodorowsky's Dune;2013;98%
The Selfish Giant;2013;98%
Short Term 12;2013;98%
Color Me Blood Red;1965;
I'm No Longer Here;2019;98%
Kedi;2016;98%
Frankenstein Meets the Spacemonster;1965;
Frankenstein vs. Baragon;1965;
Can You Ever Forgive Me?;2018;98%
The Happiest Day in the Life of Olli Maki;2016;98%
The Thief of Bagdad;1924;97%
How to Stuff a Wild Bikini;1965;
The Circus;1928;97%
Vampyr;1932;97%
The Holy Man;1965;
Monster a Go-Go;1965;
Swing Time;1936;97%
Triumph Over Violence;1965;
Old Surehand;1965;
Paradise, Hawaiian Style;1966;
Double Indemnity;1944;97%
The Big Sleep;1946;97%
Stairway to Heaven;1946;97%
The Stranger;1946;97%
Story of a Prostitute;1965;
Monsieur Verdoux;1947;97%
The Corporal and Others;1965;
Havoc in Heaven;1963;
Key Largo;1948;97%
The Red Shoes;1948;97%
Waqt;1965;
Agent for H.A.R.M.;1966;
All the King's Men;1949;97%
A Big Hand for the Little Lady;1966;
The Blue Max;1966;
Umberto D.;1952;97%
Boy, Did I Get a Wrong Number!;1966;
The Brides of Fu Manchu;1966;
Bad Day at Black Rock;1955;97%
Esta Noite Encarnarei no Teu Cadaver;1967;
Frankie and Johnny;1966;
The Ghost in the Invisible Bikini;1966;
Bob le Flambeur;1956;97%
La Grande Vadrouille;1966;
Intimate Lighting;1965;
Pather Panchali;1955;97%
Breathless;1960;97%
Young Torless;1966;
Kidnapping, Caucasian Style;1967;
The Misfits;1961;97%
The Odd Couple;1968;97%
Army of Shadows;1969;97%
Masculin Feminin;1966;
A Touch of Zen;1971;97%
Tristana;1970;97%
Trans-Europ-Express;1966;
The Trap;1966;
The French Connection;1971;97%
The Undertaker and His Pals;1966;
War and Peace, Part II: Natasha Rostova;1966;
The Godfather;1972;97%
Winnetou and the Crossbreed;1966;
Old Firehand;1966;
Women of the Prehistoric Planet;1966;
The Last Adventure;1967;
Play It Again, Sam;1972;97%
The Taming of The Shrew;1967;
Badlands;1973;97%
Monty Python and the Holy Grail;1975;97%
Catalina Caper;1967;
Airplane!;1980;97%
Victor Victoria;1982;97%
L'Argent;1983;97%
Ghostbusters;1984;97%
Mona Lisa;1986;97%
Gappa the Triphibian Monsters;1967;
Don't Make Waves;1967;
Doomsday Machine;1972;
Double Trouble;1967;
The One-Armed Swordsman;1967;
Big;1988;97%
Bull Durham;1988;97%
Defending Your Life;1991;97%
Of Mice and Men;1992;97%
The Wedding Banquet;1993;97%
The Hellcats;1968;
Hillbillys in a Haunted House;1967;
Shadowlands;1993;97%
Anne Frank Remembered;1995;97%
Sense and Sensibility;1995;97%
The Winslow Boy;1999;97%
Crouching Tiger, Hidden Dragon;2000;97%
It!;1967;
When I Am Dead and Gone;1967;
The Wind Will Carry Us;1999;97%
The Million Eyes of Sumuru;1967;
Plucked;1968;
The Mummy's Shroud;1967;
Succubus;1968;
Operation Kid Brother;1967;
Spirited Away;2001;97%
Read My Lips;2001;97%
Prehistoric Women;1967;
Our Folks;1967;
Spellbound;2002;97%
The Hurt Locker;2008;97%
The Shuttered Room;1967;
I Even Met Happy Gypsies;1967;
The Stranger;1967;
Dry Summer;1963;
Once;2007;97%
Three Poplars on Plyuschikha Street;1968;
War and Peace, Part IV: Pierre Bezukhov;1967;
Chop Shop;2007;97%
The Blood of Fu Manchu;1968;
The Diamond Arm;1969;
Enron: The Smartest Guys in the Room;2005;97%
Tell Me Who I Am;2019;97%
The Girl from Rio;1969;
Mad Max: Fury Road;2015;97%
Drive My Car;2021;97%
They Call Us Misfits;1968;
Ethel & Ernest;2016;97%
Gangs of Wasseypur;2012;97%
Monsieur Lazhar;2011;97%
Gamera vs. Viras;1968;
The Adventures of Goopy and Bagha;1969;
The Dark Horse;2014;97%
